Lid,panel_count,geom_invalid_fixed,area_m2_median,area_m2_total,tiles_available,density_bucket,notes
L0208,1,0,26.81,26.81,no,<10,
L0209,1,0,19.88,19.88,no,<10,
L0263,4,0,14.68,61.84,no,<10,
L0264,1,0,14.4,14.4,no,<10,
L0267,2,0,12.85,25.69,no,<10,
L0268,12,0,11.08,146.23,no,10-19,
L0269,57,0,16.69,1060.87,no,>=20,1 empty/degenerate Polygon (G0269_007) dropped at parse; 57 valid kept.
L0270,51,0,14.72,897.39,no,>=20,
L0271,1,0,12.82,12.82,no,<10,
L0324,10,0,7.88,141.07,no,10-19,
L0325,38,0,14.91,788.41,no,>=20,
L0326,31,0,14.29,653.74,no,>=20,
L0327,53,0,16.03,1122.61,no,>=20,
L0436,68,0,18.61,1494.48,no,>=20,
L0437,13,0,17.56,286.26,no,10-19,
L0492,3,0,27.28,200.7,no,<10,
L0549,2,0,31.86,63.71,no,<10,
L0605,2,0,40.19,80.38,no,<10,
L0606,2,0,10.95,21.91,no,<10,
L0608,1,0,22.78,22.78,no,<10,
L0662,40,0,21.42,906.75,no,>=20,
L0663,2,0,43.41,86.82,no,<10,
L0664,1,0,22.62,22.62,no,<10,
L0665,1,0,33.97,33.97,no,<10,
L0719,24,0,24.54,732.41,no,>=20,
L1114,4,0,15.08,73.77,no,<10,
L1505,20,0,26.77,720.4,no,>=20,
L1506,34,0,23.61,930.3,no,>=20,
L1520,2,0,34.72,69.44,no,<10,
L1562,19,0,22.18,565.16,no,10-19,
L1563,79,0,25.32,2555.46,no,>=20,
L1564,36,0,28.78,1200.11,no,>=20,
L1565,1,0,12.56,12.56,no,<10,
L1618,10,0,30.86,312.27,no,10-19,
L1619,150,0,17.57,3810.49,no,>=20,
L1620,201,0,18.91,19593.6,no,>=20,
L1621,134,0,14.95,2432.52,no,>=20,
L1622,4,0,57.88,223.83,no,<10,
L1674,117,0,11.4,1964.15,no,>=20,
L1675,117,0,14.01,2235.1,no,>=20,
L1676,83,0,11.97,1228.43,no,>=20,
L1677,34,0,17.06,2670.73,no,>=20,
L1678,8,0,31.78,436.06,no,<10,
L1729,74,0,14.18,4998.27,no,>=20,
L1730,31,0,9.33,331.89,no,>=20,
L1731,37,0,7.25,398.62,no,>=20,
L1732,5,0,17.72,70.47,no,<10,
L1733,9,0,21.97,296.09,no,<10,
L1734,50,0,17.77,1515.9,no,>=20,
L1784,71,0,10.98,1151.34,no,>=20,
L1785,49,0,12.24,729.99,no,>=20,
L1786,1,0,19.95,19.95,no,<10,
L1787,11,0,415.05,8905.81,no,10-19,"large-polygon grid: median ~415 m^2, installation-scale not sub-array."
L1790,28,0,14.99,1001.09,no,>=20,
L1839,39,0,20.01,3322.57,no,>=20,
L1840,121,0,12.6,4443.89,no,>=20,
L1841,112,0,13.72,3152.8,no,>=20,
