grid,pred_id,edit_area_m2,n_sam_outer,n_sam_inner,kind,covered
G0775,4,137.23319838710222,0,1,case_B_inner,True
G0775,5,203.47450888262213,0,1,case_B_inner,True
G0775,25,5.847526818219523,1,0,case_A_outer,True
G0814,19,41.427476656844256,0,1,case_B_inner,True
G0816,5,156.43142992243972,0,1,case_B_inner,True
G0816,8,93.16288024757158,0,1,case_B_inner,True
G0816,12,61.59511942562329,1,0,case_A_outer,True
G0817,0,97.44318271631312,0,1,case_B_inner,True
G0818,15,73.91474436344546,0,1,case_B_inner,True
G0855,13,35.59036920462979,0,1,case_B_inner,True
G0857,0,160.0003313858185,0,0,uncovered,False
G0857,1,82.9741285260104,1,0,case_A_outer,True
G0857,9,569.0265572170573,0,2,case_B_inner,True
G0888,5,142.14258662320233,1,0,case_A_outer,True
G0888,22,12.459902064263186,1,0,case_A_outer,True
G0888,29,9.266768776650206,1,0,case_A_outer,True
G0889,0,135.6167246208219,0,4,case_B_inner,True
G0889,5,616.8940801436391,0,2,case_B_inner,True
G0889,18,30.969109524976485,1,0,case_A_outer,True
G0890,0,100.20776156686172,1,0,case_A_outer,True
G0922,1,91.44135383023462,0,1,case_B_inner,True
G0922,5,461.81370384449025,1,0,case_A_outer,True
G0922,6,140.82830311376284,0,1,case_B_inner,True
G0922,13,76.6571802610107,1,0,case_A_outer,True
G0922,18,70.84142209086765,1,0,case_A_outer,True
G0923,7,108.67827907269965,1,0,case_A_outer,True
G0923,8,132.7872313749596,1,0,case_A_outer,True
G0923,17,32.15400140727738,0,2,case_B_inner,True
G0923,19,32.244430860928425,0,1,case_B_inner,True
G0923,27,21.613989507844916,0,1,case_B_inner,True
G0924,5,369.51434682135323,1,0,case_A_outer,True
G0924,6,231.96613682310027,0,1,case_B_inner,True
G0924,16,25.324836183964653,1,0,case_A_outer,True
G0924,18,24.776627468714626,1,0,case_A_outer,True
G0925,3,1034.8322881440517,0,1,case_B_inner,True
G0925,4,462.7900303924664,1,0,case_A_outer,True
G0925,11,31.863986632474717,1,0,case_A_outer,True
G0925,13,10.147888020339094,1,0,case_A_outer,True
