anchor_id,region_key,city,stratum,source_gridcell_id,centroid_lon,centroid_lat,crs_metric,bbox_half_m,lon_min,lat_min,lon_max,lat_max,vexcel_collection_id,vexcel_capture_start,vexcel_capture_end
BFN_cbd_BFN0288,bloemfontein,Bloemfontein,cbd,BFN0288,26.25433963041693,-29.18308333798079,EPSG:32735,100.0,26.253304669940842,-29.183980101915015,26.255374572894166,-29.182186565603953,za-fs-bloemfontein-2026,2026-01-18,2026-01-18
BFN_ind_BFN0106,bloemfontein,Bloemfontein,industrial_logistics,BFN0106,26.254925809803456,-29.101858244403925,EPSG:32735,100.0,26.253891684452213,-29.10275503838282,26.255959917229752,-29.100961442009442,za-fs-bloemfontein-2026,2026-01-18,2026-01-18
BFN_res_BFN0213,bloemfontein,Bloemfontein,residential,BFN0213,26.275161817750487,-29.14709622044712,EPSG:32735,100.0,26.27412740264897,-29.1479931596277,26.27619621488561,-29.14619927284748,za-fs-bloemfontein-2026,2026-01-18,2026-01-18
DBN_cbd_DBN0403,durban,Durban,cbd,DBN0403,30.965786119322686,-29.85540333687934,EPSG:32736,100.0,30.964733136204316,-29.856289294852285,30.966839083861355,-29.854517369515506,za-kzn-durban-2026,2025-12-17,2026-01-06
DBN_ind_DBN0046,durban,Durban,industrial_logistics,DBN0046,30.99952010356369,-29.720587531703327,EPSG:32736,100.0,30.998468885728034,-29.721473855246312,31.000571302943857,-29.71970119883407,za-kzn-durban-2026,2025-12-17,2026-01-06
DBN_res_DBN0100,durban,Durban,residential,DBN0100,30.998982922053216,-29.74764588694312,EPSG:32736,100.0,30.997931402767932,-29.74853218944573,31.000034422857862,-29.74675957510478,za-kzn-durban-2026,2025-12-17,2026-01-06
ELS_cbd_ELS0180,east_london,East London,cbd,ELS0180,27.872506982828583,-33.00789278066901,EPSG:32735,100.0,27.871445399538477,-33.00880219066185,27.87356854433441,-33.0069833618783,za-ec-eastlondon-2026,2026-01-07,2026-01-08
ELS_ind_ELS0228,east_london,East London,industrial_logistics,ELS0228,27.872773583022894,-33.03495067358738,EPSG:32735,100.0,27.871711684622085,-33.03586008728976,27.873835459610287,-33.03404125107794,za-ec-eastlondon-2026,2026-01-07,2026-01-08
ELS_res_ELS0064,east_london,East London,residential,ELS0064,27.978952842839075,-32.95298411650307,EPSG:32735,100.0,27.977893016645496,-32.95389440779569,27.980012647310044,-32.952073816494426,za-ec-eastlondon-2026,2026-01-07,2026-01-08
GQB_cbd_GQB0203,gqeberha,Port Elizabeth / Gqeberha,cbd,GQB0203,25.59026997521701,-33.79662804465667,EPSG:32735,100.0,25.589175213562584,-33.797517344845936,25.591364714238892,-33.79573873404456,za-ec-portelizabeth-2026,2026-01-11,2026-01-21
GQB_ind_GQB0153,gqeberha,Port Elizabeth / Gqeberha,industrial_logistics,GQB0153,25.41764995563109,-33.78551651167327,EPSG:32735,100.0,25.41655361587225,-33.786404235280166,25.41874627277692,-33.78462877754642,za-ec-portelizabeth-2026,2026-01-11,2026-01-21
GQB_res_GQB0219,gqeberha,Port Elizabeth / Gqeberha,residential,GQB0219,25.38491936642158,-33.80312803185663,EPSG:32735,100.0,25.383822468556254,-33.804015445598644,25.386016241655682,-33.802240607569054,za-ec-portelizabeth-2026,2026-01-11,2026-01-21
PMB_cbd_PMB0102,pietermaritzburg,Pietermaritzburg,cbd,PMB0102,30.35154700531753,-29.600964954846667,EPSG:32736,100.0,30.35049180690876,-29.601845898237894,30.352602185415517,-29.600084001808558,za-kzn-pietermaritzburg-2025,2025-12-16,2025-12-16
PMB_ind_PMB0090,pietermaritzburg,Pietermaritzburg,industrial_logistics,PMB0090,30.382728930558468,-29.592563632586003,EPSG:32736,100.0,30.381674076994692,-29.593444847371618,30.38378376581738,-29.591682408173707,za-kzn-pietermaritzburg-2025,2025-12-16,2025-12-16
PMB_res_PMB0042,pietermaritzburg,Pietermaritzburg,residential,PMB0042,30.435220465510422,-29.55750678419268,EPSG:32736,100.0,30.434166424539345,-29.558388470571536,30.43627448820596,-29.556625088228255,za-kzn-pietermaritzburg-2025,2025-12-16,2025-12-16
PTA_cbd_PTA0292,pretoria,Pretoria,cbd,PTA0292,28.111498963336057,-25.723199863122183,EPSG:32735,100.0,28.110510638060436,-25.724110312568143,28.11248727356653,-25.72228940735742,za-gp-pretoria-2026,2026-02-05,2026-02-08
PTA_ind_PTA0481,pretoria,Pretoria,industrial_logistics,PTA0481,28.1318607908008,-25.768188486774164,EPSG:32735,100.0,28.130872267927902,-25.769099076159552,28.132849298593086,-25.76727789106766,za-gp-pretoria-2026,2026-02-05,2026-02-08
PTA_res_PTA0322,pretoria,Pretoria,residential,PTA0322,28.41049255678329,-25.720612428759008,EPSG:32735,100.0,28.409506624194165,-25.72152481832233,28.41147847433623,-25.719700033042997,za-gp-pretoria-2026,2026-02-05,2026-02-08
